id,Player,Seasons,Possessions,Rapm
951,Adam Mokoka,2017-21,691,0.37
702,Dwight Buycks,2017-21,1665,0.36
180,Rodney McGruder,2017-21,19920,0.35
302,Michael Kidd-Gilchrist,2017-21,23122,0.35
411,Kostas Antetokounmpo,2017-21,379,0.35
551,JaVale McGee,2017-21,24108,0.35
642,Grant Williams,2017-21,10803,0.34
511,John Henson,2017-21,16043,0.33
15,Xavier Tillman,2017-21,4612,0.32
326,MarShon Brooks,2017-21,2290,0.32
932,Alize Johnson,2017-21,1747,0.32
383,Lauri Markkanen,2017-21,26465,0.31
387,Langston Galloway,2017-21,26239,0.31
414,Klay Thompson,2017-21,49961,0.31
119,Tacko Fall,2017-21,721,0.3
288,Mindaugas Kuzminskas,2017-21,4067,0.3
491,Jordan Crawford,2017-21,2119,0.3
764,De'Aaron Fox,2017-21,34230,0.3
897,Aron Baynes,2017-21,25578,0.3
767,David West,2017-21,10356,0.29
840,Caris LeVert,2017-21,31622,0.29
904,Anthony Tolliver,2017-21,21333,0.29
613,Isaiah Taylor,2017-21,5052,0.27
797,Dakari Johnson,2017-21,644,0.27
867,Brandon Ingram,2017-21,42501,0.27
894,Austin Rivers,2017-21,41409,0.27
21,Willie Reed,2017-21,5857,0.26
145,Shai Gilgeous-Alexander,2017-21,27485,0.26
373,Luc Mbah a Moute,2017-21,16587,0.26
417,Killian Tillie,2017-21,744,0.25
754,Delon Wright,2017-21,29940,0.24
274,Naji Marshall,2017-21,2979,0.23
287,Mirza Teletovic,2017-21,5257,0.23
334,Markieff Morris,2017-21,40385,0.23
693,Edy Tavares,2017-21,99,0.23
821,Chris McCullough,2017-21,708,0.23
28,Wes Iwundu,2017-21,16362,0.22
178,Rodney Stuckey,2017-21,2722,0.22
294,Mike Scott,2017-21,23325,0.22
295,Mike Muscala,2017-21,20799,0.22
494,Jordan Bell,2017-21,10139,0.22
745,Denzel Valentine,2017-21,18612,0.22
877,Bojan Bogdanovic,2017-21,54349,0.22
11,Zach Collins,2017-21,13377,0.21
398,Kyle Singler,2017-21,1864,0.21
570,Jamil Wilson,2017-21,1080,0.21
854,Bruno Caboclo,2017-21,5071,0.21
353,Mamadi Diakite,2017-21,895,0.2
